_id,Nombre de la presa,Latitud,Longitud,Altitud,Estado,Municipio,Cuenca de disponibilidad,Región hidrológica,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
665117fa22e03d3d869c0cba,"Hurtado, Jal.",20.466944,-103.651111,1400,Jalisco,Acatlán de Juárez,Laguna Villa Corona A,Lerma Santiago,122.62,34.193,118,9.393,117.3,7.448,79
665117fa22e03d3d869c0cbb,"Manuel M. Dieguez, Jal.",20.908889,-103.705556,730,Jalisco,Amatitán,Presa Santa Rosa,Lerma Santiago,183.2,15194.8,165,7872.59,150.62,4233.044,54
665117fa22e03d3d869c0cbc,"Ing. Guillermo Lugo Sanabria, Jal.",20.491111,-102.231944,1671,Jalisco,Ayotlán,Río Lerma 7,Lerma Santiago,368,545.966,362.78,400.039,356.58,266.88,67
665117fa22e03d3d869c0cbd,"Ramón Corona Madrigal General, Jal.",19.976111,-104.370278,1004,Jalisco,Ayutla,Corcovado,Armería-Coahuayana,842.78,51.727,840,31.014,832.36,4.644,15
665117fa22e03d3d869c0cbe,"Lago de Chapala, Jal.",20.290556,-103.201667,1523,Jalisco,Chapala,Río Lerma 7,Lerma Santiago,430.3,300,425,249.49,408.38,97.523,39
665117fa22e03d3d869c0cbf,"Cuquío, Jal.",20.948056,-103.039444,1799,Jalisco,Cuquío,Río Santiago 2,Lerma Santiago,107.59,259.502,94.4,126.694,88.68,86.728,68
665117fa22e03d3d869c0cc0,"Basilio Vadillo, Jal.",19.913611,-104.061111,824,Jalisco,El Limón,Las Piedras,Armería-Coahuayana,743.35,19.503,742.84,17.647,741.65,13.47,76
665117fa22e03d3d869c0cc1,"Ing. Alfredo Elías Ayub, Jal.",21.196944,-104.105833,579,Jalisco,Hostotipaquillo,Río Santiago 4,Lerma Santiago,523.6,1183.23,521,1057.29,509.17,640.715,61
665117fa22e03d3d869c0cc2,"Achimec, Jal.",22.327222,-103.225278,1825,Jalisco,Huejúcar,Río Tepetongo,Lerma Santiago,1563,1460,1560,1390,1543.89,1108.478,80
665117fa22e03d3d869c0cc3,"Constitución de Apatzingán, Jal.",19.287778,-102.774167,440,Jalisco,Jilotlán de los Dolores,Río Tepalcatepec,Balsas,2020,208.65,2018,182.9,2005.3,63.795,35
665117fa22e03d3d869c0cc4,"El Cuarenta, Jal.",21.497778,-101.7375,1998,Jalisco,Lagos de Moreno,Presa El Cuarenta,Lerma Santiago,1855.5,19.685,1854.9,17.799,1843.82,0.154,1
665117fa22e03d3d869c0cc5,"La Sauceda, Jal.",21.359167,-101.835556,1940,Jalisco,Lagos de Moreno,Río de Lagos,Lerma Santiago,2110.3,61.519,2106.74,36.03,2100.94,8.203,23
665117fa22e03d3d869c0cc6,"Corrinchis, Jal.",20.479722,-104.780833,0,Jalisco,Mascota,Mascota,Río Ameca,1977.839,43.317,1976.84,39.99,1965.65,15.888,40
665117fa22e03d3d869c0cc7,"Solidaridad, Jal.",18.967222,-103.396667,291,Jalisco,Pihuamo,Barreras,Armería-Coahuayana,2209.6,4.2,2207.7,3.92,2207.7,3.92,100
665117fa22e03d3d869c0cc8,"Tenasco, Jal.",22.171944,-103.198611,1850,Jalisco,Santa María de los Ángeles,Río Tepetongo,Lerma Santiago,2167,29.263,2165,24.031,2157.19,7.294,30
665117fa22e03d3d869c0cc9,"Ing. Santiago Camarena, Jal.",20.596389,-103.845833,1260,Jalisco,Teuchitlán,Salado,Río Ameca,2184.5,49.227,2183,40.638,2175.14,5.613,14
665117fa22e03d3d869c0cca,"Cajón de Peña, Jal.",19.9975,-105.129722,132,Jalisco,Tomatlán,Río Tomatlán A,Costa de Jalisco,978.97,146.888,974.35,124.75,958.96,65.553,53
